Municipality,Province,Latitude,Longitude,
Aa en Hunze,Drenthe,53.0104848,6.7495285,
Aalsmeer,Noord-Holland,52.2621639,4.7619222,
Aalten,Gelderland,51.9266666,6.5806785,
Achtkarspelen,Friesland,53.2103566,6.1535651,
Alblasserdam,Zuid-Holland,51.8703366,4.6702024,
Albrandswaard,Zuid-Holland,51.8556542,4.4014151,
Alkmaar,Noord-Holland,52.6323813,4.7533754,
Almelo,Overijssel,52.3670267,6.6684919,
Almere,Flevoland,52.3507849,5.2647016,
Alphen aan den Rijn,Zuid-Holland,52.1276577,4.6688508,
Alphen-Chaam,Noord-Brabant,51.5091348,4.8615888,
Altena,Noord-Brabant,51.7644,4.967556,
Ameland,Friesland,53.440564,5.6587659,
Amersfoort,Utrecht,52.1561113,5.3878266,
Amstelveen,Noord-Holland,52.3114207,4.870087,
Amsterdam,Noord-Holland,52.3702157,4.8951679,
Apeldoorn,Gelderland,52.211157,5.9699231,
Appingedam,Groningen,53.3206783,6.8544218,
Arnhem,Gelderland,51.9851034,5.8987296,
Assen,Drenthe,52.992753,6.5642284,
Asten,Noord-Brabant,51.4029943,5.7440776,
Baarle-Nassau,Noord-Brabant,51.4451366,4.9295231,
Baarn,Utrecht,52.2131825,5.2864096,
Barendrecht,Zuid-Holland,51.8515088,4.5485809,
Barneveld,Gelderland,52.1401901,5.5841509,
Beek,Limburg,50.9393162,5.7956471,
Beekdaelen,Limburg,50.9446,5.8958,
Beemster,Noord-Holland,52.5475586,4.9133323,
Beesel,Limburg,51.2696984,6.0468338,
Berg en Dal,Gelderland,51.8181209,5.9200815,
Bergeijk,Noord-Brabant,51.3197162,5.3574995,
Bergen (L),Limburg,51.5998657,6.0329977,
Bergen (NH),Noord-Holland,52.6749368,4.7063946,
Bergen op Zoom,Noord-Brabant,51.4945758,4.2871622,
Berkelland,Gelderland,52.1151568,6.5615013,
Bernheze,Noord-Brabant,51.6602722,5.5014015,
Best,Noord-Brabant,51.5126,5.3989,
Beuningen,Gelderland,51.8597237,5.7691067,
Beverwijk,Noord-Holland,52.4869842,4.6574468,
Bladel,Noord-Brabant,51.362963,5.2136395,
Blaricum,Noord-Holland,52.2726695,5.2480795,
Bloemendaal,Noord-Holland,52.4106502,4.5971853,
Bodegraven-Reeuwijk,Zuid-Holland,52.0823259,4.7460844,
Boekel,Noord-Brabant,51.6012,5.6758,
Borger-Odoorn,Drenthe,52.889372,6.8884038,
Borne,Overijssel,52.3002366,6.7537258,
Borsele,Zeeland,51.4476913,3.803318,
Boxmeer,Noord-Brabant,51.6452689,5.9566657,
Boxtel,Noord-Brabant,51.601437,5.3121773,
Breda,Noord-Brabant,51.5719149,4.768323,
Brielle,Zuid-Holland,51.902582,4.1636846,
Bronckhorst,Gelderland,52.0755954,6.1808918,
Brummen,Gelderland,52.0901666,6.1580145,
Brunssum,Limburg,50.9488959,5.9721662,
Bunnik,Utrecht,52.0665285,5.2007761,
Bunschoten,Utrecht,52.2406421,5.3670704,
Buren,Gelderland,51.9108,5.33185,
Capelle aan den IJssel,Zuid-Holland,51.9301505,4.5777053,
Castricum,Noord-Holland,52.5452585,4.6727354,
Coevorden,Drenthe,52.6613567,6.7410616,
Cranendonck,Noord-Brabant,51.2869224,5.596695,
Cuijk,Noord-Brabant,51.7289266,5.879209,
Culemborg,Gelderland,51.9561076,5.2400448,
Dalfsen,Overijssel,52.5153863,6.2728712,
Dantumadiel,Friesland,53.2729807,5.9859302,
De Bilt,Utrecht,52.1092717,5.1809676,
De Fryske Marren,Friesland,52.9480029,5.7913877,
De Ronde Venen,Utrecht,52.2066804,4.8867728,
De Wolden,Drenthe,52.6819787,6.3660394,
Delft,Zuid-Holland,52.0115769,4.3570677,
Delfzijl,Groningen,53.3310272,6.9244598,
Den Helder,Noord-Holland,52.9562808,4.7607972,
Deurne,Noord-Brabant,51.4642201,5.7950679,
Deventer,Overijssel,52.2660751,6.1552165,
Diemen,Noord-Holland,52.3389926,4.9591888,
Dinkelland,Overijssel,52.4076174,6.8972597,
Doesburg,Gelderland,52.0142878,6.1397816,
Doetinchem,Gelderland,51.9646995,6.2937736,
Dongen,Noord-Brabant,51.6287097,4.9382385,
Dordrecht,Zuid-Holland,51.8132979,4.6900929,
Drechterland,Noord-Holland,52.6533067,5.1835889,
Drimmelen,Noord-Brabant,51.7085524,4.8034905,
Dronten,Flevoland,52.5346819,5.7218086,
Druten,Gelderland,51.8940837,5.5942725,
Duiven,Gelderland,51.941859,6.0235313,
Echt-Susteren,Limburg,51.093224,5.9073645,
Edam-Volendam,Noord-Holland,52.5045411,5.045998,
Ede,Gelderland,52.0401675,5.6648594,
Eemnes,Utrecht,52.2537461,5.2612754,
Eersel,Noord-Brabant,51.3578078,5.3159125,
Eijsden-Margraten,Limburg,50.8199604,5.8214573,
Eindhoven,Noord-Brabant,51.441642,5.4697225,
Elburg,Gelderland,52.4492631,5.8345193,
Emmen,Drenthe,52.7858037,6.8975851,
Enkhuizen,Noord-Holland,52.7153849,5.2846831,
Enschede,Overijssel,52.2215372,6.8936619,
Epe,Gelderland,52.3450173,5.9836544,
Ermelo,Gelderland,52.2981,5.6277,
Etten-Leur,Noord-Brabant,51.5868855,4.6671384,
Geertruidenberg,Noord-Brabant,51.7023659,4.8499781,
Geldrop-Mierlo,Noord-Brabant,51.4228919,5.5571356,
Gemert-Bakel,Noord-Brabant,51.5223418,5.7359912,
Gennep,Limburg,51.6978545,5.9726751,
Gilze en Rijen,Noord-Brabant,51.5598545,4.9092542,
Goeree-Overflakkee,Zuid-Holland,51.7591966,4.1169809,
Goes,Zeeland,51.5046455,3.8911304,
Goirle,Noord-Brabant,51.5236773,5.0641948,
Gooise Meren,Noord-Holland,52.3047615,5.139699,
Gorinchem,Zuid-Holland,51.8372247,4.9758292,
Gouda,Zuid-Holland,52.0115205,4.7104633,
Grave,Noord-Brabant,51.7589248,5.7383579,
Groningen,Groningen,53.2193835,6.5665018,
Gulpen-Wittem,Limburg,50.8009343,5.8972878,
Haaksbergen,Overijssel,52.1606653,6.7381002,
Haaren,Noord-Brabant,51.60427,5.22617,
Haarlem,Noord-Holland,52.3873878,4.6462194,
Haarlemmermeer,Noord-Holland,52.3003784,4.6743594,
Halderberge,Noord-Brabant,51.586263,4.513956,
Hardenberg,Overijssel,52.5754084,6.6166947,
Harderwijk,Gelderland,52.3422025,5.6367423,
Hardinxveld-Giessendam,Zuid-Holland,51.8324299,4.8336405,
Harlingen,Friesland,53.1736,5.4264,
Hattem,Gelderland,52.4739306,6.0681758,
Heemskerk,Noord-Holland,52.514146,4.6821367,
Heemstede,Noord-Holland,52.3510634,4.6203004,
Heerde,Gelderland,52.3909176,6.049638,
Heerenveen,Friesland,52.9605613,5.9205217,
Heerhugowaard,Noord-Holland,52.662677,4.8324767,
Heerlen,Limburg,50.8881742,5.9794988,
Heeze-Leende,Noord-Brabant,51.3809718,5.5758263,
Heiloo,Noord-Holland,52.6012341,4.7004931,
Hellendoorn,Overijssel,52.3870446,6.4542947,
Hellevoetsluis,Zuid-Holland,51.8318632,4.13181,
Helmond,Noord-Brabant,51.4792547,5.6570096,
Hendrik-Ido-Ambacht,Zuid-Holland,51.8423973,4.6395056,
Hengelo (O),Overijssel,52.2523195,6.79552559080801,
Het Hogeland,Groningen,52.700793,5.044813,
Heumen,Gelderland,51.7645323,5.8431502,
Heusden,Noord-Brabant,51.7285836,5.160875,
Hillegom,Zuid-Holland,52.2956262,4.5791763,
Hilvarenbeek,Noord-Brabant,51.4856827,5.1384062,
Hilversum,Noord-Holland,52.2291696,5.1668974,
Hoeksche Waard,Zuid-Holland,52.856111,4.900382,
Hof van Twente,Overijssel,52.2414268,6.5915549,
Hollands Kroon,Noord-Holland,52.8118586,5.0011902,
Hoogeveen,Drenthe,52.7286158,6.4901002,
Hoorn,Noord-Holland,52.6423654,5.0602124,
Horst aan de Maas,Limburg,51.4232255,6.0303174,
Houten,Utrecht,52.0278426,5.1630019,
Huizen,Noord-Holland,52.2994652,5.2433925,
Hulst,Zeeland,51.2806907,4.0548869,
IJsselstein,Utrecht,52.0177649,5.0403003,
Kaag en Braassem,Zuid-Holland,52.204135,4.6313145,
Kampen,Overijssel,52.5579645,5.9144617,
Kapelle,Zeeland,51.4847546,3.9596313,
Katwijk,Zuid-Holland,52.19802,4.4199429,
Kerkrade,Limburg,50.8659457,6.0705486,
Koggenland,Noord-Holland,52.6521964,4.9420151,
Krimpen aan den IJssel,Zuid-Holland,51.9143534,4.5962325,
Krimpenerwaard,Zuid-Holland,51.982222,4.781667,
Laarbeek,Noord-Brabant,51.5384467,5.6212732,
Landerd,Noord-Brabant,51.7267746,5.6594923,
Landgraaf,Limburg,50.8927646,6.0224085,
Landsmeer,Noord-Holland,52.4403382,4.9209233,
Langedijk,Noord-Holland,52.6867108,4.7838987,
Lansingerland,Zuid-Holland,51.9987144,4.5162627,
Laren,Noord-Holland,52.2568172,5.224155,
Leeuwarden,Friesland,53.2012334,5.7999133,
Leiden,Zuid-Holland,52.1601144,4.4970097,
Leiderdorp,Zuid-Holland,52.1509854,4.5281733,
Leidschendam-Voorburg,Zuid-Holland,52.0877314,4.3993855,
Lelystad,Flevoland,52.518537,5.471422,
Leudal,Limburg,51.261966,5.8909968,
Leusden,Utrecht,52.1317932,5.4294692,
Lingewaard,Gelderland,51.9038908,5.935221,
Lisse,Zuid-Holland,52.2602,4.5515,
Lochem,Gelderland,52.1614115,6.4155986,
Loon op Zand,Noord-Brabant,51.6267535,5.0727425,
Lopik,Utrecht,51.974861,4.9451478,
Loppersum,Groningen,53.3321749,6.7479874,
Losser,Overijssel,52.2628522,7.0057853,
Maasdriel,Gelderland,51.7689071,5.3233045,
Maasgouw,Limburg,51.1678052,5.8841399,
Maassluis,Zuid-Holland,51.9226067,4.2545656,
Maastricht,Limburg,50.8513682,5.6909725,
Medemblik,Noord-Holland,52.7686613,5.109305,
Meerssen,Limburg,50.8849427,5.7526367,
Meierijstad,Noord-Brabant,51.6137038,5.5482128,
Meppel,Drenthe,52.6921234,6.1937187,
Middelburg,Zeeland,51.4987962,3.610998,
Midden-Delfland,Zuid-Holland,51.9542011,4.2883099,
Midden-Drenthe,Drenthe,52.8611037,6.5123043,
Midden-Groningen,Groningen,53.1988,6.8075,
Mill en Sint Hubert,Noord-Brabant,51.6798065,5.7553811,
Moerdijk,Noord-Brabant,51.7018167,4.6273499,
Molenlanden,Zuid-Holland,52.200838,6.907515,
Montferland,Gelderland,51.919617,6.2463106,
Montfoort,Utrecht,52.0362127,4.9518586,
Mook en Middelaar,Limburg,51.7512298,5.8816298,
Neder-Betuwe,Gelderland,51.9309372,5.574103,
Nederweert,Limburg,51.2865631,5.7527014,
Nieuwegein,Utrecht,52.0248208,5.0918192,
Nieuwkoop,Zuid-Holland,52.1500559,4.777359,
Nijkerk,Gelderland,52.2224835,5.4835625,
Nijmegen,Gelderland,51.8125626,5.8372264,
Nissewaard,Zuid-Holland,51.8480337,4.3287479,
Noardeast-Fryslân,Friesland,53.3681579,5.93890013514719,
Noord-Beveland,Zeeland,51.5702826,3.7714839,
