ID;Gemeente;Indicator;Inwoners 2015;Inwoners per km2
1680;Aa en Hunze;Aantal;25.203;91
738;Aalburg;Aantal;12.922;256
358;Aalsmeer;Aantal;31.077;1.524
197;Aalten;Aantal;26.904;279
59;Achtkarspelen;Aantal;27.983;274
482;Alblasserdam;Aantal;19.845;2.262
613;Albrandswaard;Aantal;25.148;1.153
361;Alkmaar;Aantal;107.106;969
141;Almelo;Aantal;72.291;1.074
34;Almere;Aantal;196.932;1.523
484;Alphen aan den Rijn;Aantal;107.396;849
1723;Alphen-Chaam;Aantal;9.753;105
60;Ameland;Aantal;3.590;61
307;Amersfoort;Aantal;152.481;2.427
362;Amstelveen;Aantal;87.162;2.104
363;Amsterdam;Aantal;821.752;4.954
200;Apeldoorn;Aantal;158.099;465
3;Appingedam;Aantal;12.011;505
202;Arnhem;Aantal;152.293;1.555
106;Assen;Aantal;67.165;820
743;Asten;Aantal;16.559;236
744;Baarle-Nassau;Aantal;6.599;87
308;Baarn;Aantal;24.406;751
489;Barendrecht;Aantal;47.521;2.387
203;Barneveld;Aantal;54.703;311
5;Bedum;Aantal;10.441;234
888;Beek (L.);Aantal;16.214;771
370;Beemster;Aantal;8.903;126
889;Beesel;Aantal;13.511;480
7;Bellingwedde;Aantal;9.154;84
1724;Bergeijk;Aantal;18.209;180
893;Bergen (L.);Aantal;13.152;127
373;Bergen (NH.);Aantal;30.005;309
748;Bergen op Zoom;Aantal;66.320;826
1859;Berkelland;Aantal;44.364;172
1721;Bernheze;Aantal;29.729;331
753;Best;Aantal;28.737;838
209;Beuningen;Aantal;25.282;579
375;Beverwijk;Aantal;40.182;2.194
585;Binnenmaas;Aantal;28.656;413
1728;Bladel;Aantal;19.869;264
376;Blaricum;Aantal;9.312;835
377;Bloemendaal;Aantal;22.256;560
1901;Bodegraven-Reeuwijk;Aantal;33.208;438
755;Boekel;Aantal;10.119;293
1681;Borger-Odoorn;Aantal;25.502;93
147;Borne;Aantal;21.992;846
654;Borsele;Aantal;22.568;159
756;Boxmeer;Aantal;28.342;254
757;Boxtel;Aantal;30.337;476
758;Breda;Aantal;180.937;1.435
501;Brielle;Aantal;16.467;597
1876;Bronckhorst;Aantal;36.726;130
213;Brummen;Aantal;20.983;250
899;Brunssum;Aantal;28.656;1.666
312;Bunnik;Aantal;14.662;396
313;Bunschoten;Aantal;20.647;678
214;Buren;Aantal;26.117;195
381;Bussum;Aantal;32.870;4.066
502;Capelle aan den IJssel;Aantal;66.478;4.676
383;Castricum;Aantal;34.361;694
109;Coevorden;Aantal;35.535;120
1706;Cranendonck;Aantal;20.542;269
611;Cromstrijen;Aantal;12.784;235
1684;Cuijk;Aantal;24.649;481
216;Culemborg;Aantal;27.560;937
148;Dalfsen;Aantal;27.677;168
1891;Dantumadiel;Aantal;19.059;223
310;De Bilt;Aantal;42.169;636
1921;De Friese Meren;Aantal;51.213;146
1663;De Marne;Aantal;10.157;60
736;De Ronde Venen;Aantal;42.588;425
1690;De Wolden;Aantal;23.661;105
503;Delft;Aantal;101.030;4.425
10;Delfzijl;Aantal;25.409;191
400;Den Helder;Aantal;56.483;1.253
762;Deurne;Aantal;31.765;272
150;Deventer;Aantal;98.540;751
384;Diemen;Aantal;26.666;2.224
1774;Dinkelland;Aantal;25.928;148
221;Doesburg;Aantal;11.355;982
222;Doetinchem;Aantal;56.484;714
766;Dongen;Aantal;25.395;867
58;Dongeradeel;Aantal;23.983;144
505;Dordrecht;Aantal;118.899;1.508
498;Drechterland;Aantal;19.294;327
1719;Drimmelen;Aantal;26.703;278
303;Dronten;Aantal;40.363;121
225;Druten;Aantal;18.294;485
226;Duiven;Aantal;25.548;753
1711;Echt-Susteren;Aantal;31.947;310
385;Edam-Volendam;Aantal;29.087;1.785
228;Ede;Aantal;111.575;351
317;Eemnes;Aantal;8.807;284
1651;Eemsmond;Aantal;15.770;83
770;Eersel;Aantal;18.347;222
1903;Eijsden-Margraten;Aantal;24.967;322
772;Eindhoven;Aantal;223.209;2.546
230;Elburg;Aantal;22.843;358
114;Emmen;Aantal;107.775;321
388;Enkhuizen;Aantal;18.345;1.446
153;Enschede;Aantal;158.553;1.125
232;Epe;Aantal;32.214;206
233;Ermelo;Aantal;26.190;306
777;Etten-Leur;Aantal;42.503;768
1722;Ferwerderadiel;Aantal;8.738;89
70;Franekeradeel;Aantal;20.328;198
779;Geertruidenberg;Aantal;21.574;810
236;Geldermalsen;Aantal;26.323;264
1771;Geldrop-Mierlo;Aantal;38.879;1.254
1652;Gemert-Bakel;Aantal;29.513;241
907;Gennep;Aantal;17.280;363
689;Giessenlanden;Aantal;14.464;227
784;Gilze en Rijen;Aantal;26.065;398
1924;Goeree-Overflakkee;Aantal;48.206;185
664;Goes;Aantal;37.153;401
785;Goirle;Aantal;23.014;547
512;Gorinchem;Aantal;35.338;1.872
513;Gouda;Aantal;71.105;4.222
786;Grave;Aantal;12.840;472
241;Groesbeek;Aantal;34.258;396
14;Groningen (gemeente);Aantal;200.336;2.559
15;Grootegast;Aantal;12.123;140
1729;Gulpen-Wittem;Aantal;14.497;198
158;Haaksbergen;Aantal;24.307;232
788;Haaren;Aantal;13.523;234
392;Haarlem;Aantal;156.645;5.360
393;Haarlemmerliede en Spaarnwoude;Aantal;5.574;289
394;Haarlemmermeer;Aantal;144.152;807
1655;Halderberge;Aantal;29.484;396
160;Hardenberg;Aantal;59.577;191
243;Harderwijk;Aantal;45.776;1.185
523;Hardinxveld-Giessendam;Aantal;17.802;1.052
17;Haren;Aantal;18.924;416
72;Harlingen;Aantal;15.779;632
244;Hattem;Aantal;11.821;512
396;Heemskerk;Aantal;39.138;1.438
397;Heemstede;Aantal;26.480;2.874
246;Heerde;Aantal;18.512;235
74;Heerenveen;Aantal;50.141;264
398;Heerhugowaard;Aantal;53.554;1.397
917;Heerlen;Aantal;87.500;1.946
1658;Heeze-Leende;Aantal;15.477;149
399;Heiloo;Aantal;22.553;1.205
163;Hellendoorn;Aantal;35.622;258
530;Hellevoetsluis;Aantal;38.882;1.232
794;Helmond;Aantal;89.718;1.686
531;Hendrik-Ido-Ambacht;Aantal;29.156;2.750
164;Hengelo (O.);Aantal;81.059;1.331
63;het Bildt;Aantal;10.592;115
252;Heumen;Aantal;16.383;411
797;Heusden;Aantal;43.132;547
534;Hillegom;Aantal;21.101;1.635
798;Hilvarenbeek;Aantal;15.042;158
402;Hilversum;Aantal;87.161;1.911
1735;Hof van Twente;Aantal;34.917;164
1911;Hollands Kroon;Aantal;47.546;133
118;Hoogeveen;Aantal;54.860;430
18;Hoogezand-Sappemeer;Aantal;34.334;515
405;Hoorn;Aantal;71.880;3.530
1507;Horst aan de Maas;Aantal;41.661;221
321;Houten;Aantal;48.637;882
406;Huizen;Aantal;41.315;2.614
677;Hulst;Aantal;27.360;136
353;IJsselstein;Aantal;34.061;1.614
1884;Kaag en Braassem;Aantal;25.844;408
166;Kampen;Aantal;51.432;362
678;Kapelle;Aantal;12.545;338
537;Katwijk;Aantal;63.633;2.593
928;Kerkrade;Aantal;46.524;2.122
1598;Koggenland;Aantal;22.426;279
79;Kollumerland en Nieuwkruisland;Aantal;12.835;117
588;Korendijk;Aantal;10.778;141
542;Krimpen aan den IJssel;Aantal;28.970;3.773
1931;Krimpenerwaard;Aantal;54.208;362
1659;Laarbeek;Aantal;21.913;396
1685;Landerd;Aantal;15.290;217
882;Landgraaf;Aantal;37.456;1.524
415;Landsmeer;Aantal;10.823;480
416;Langedijk;Aantal;27.287;1.138
1621;Lansingerland;Aantal;58.133;1.071
417;Laren (NH.);Aantal;10.857;875
22;Leek;Aantal;19.478;308
545;Leerdam;Aantal;20.568;609
80;Leeuwarden;Aantal;107.691;697
81;Leeuwarderadeel;Aantal;10.221;250
546;Leiden;Aantal;121.562;5.542
547;Leiderdorp;Aantal;26.853;2.325
