Provinces, Latitude, Longitude
Baden Wurttemberg, 48.99999229, 8.399993448
Bayern, 50.26660748, 10.96660681
Berlin, 52.52181866, 13.40154862
Brandenburg, 51.7704175, 14.32996741
Bremen, 53.55043805, 8.579982461
Hamburg, 53.55002464, 9.999999144
Hessen, 51.30000694, 9.500029662
Mecklenburg Vorpommern, 53.63330408, 11.41669861
Niedersachsen, 53.1299986, 8.220004434
Nordrhein Westfalen, 52.02998822, 8.530011351
Rheinland Pfalz, 49.98247246, 8.273219156
Saarland, 49.25039044, 6.970003213
Sachsen, 50.82998395, 12.91997595
Sachsen Anhalt, 52.13042137, 11.62000362
Schleswig Holstein, 54.78374778, 9.433315388
Thuringen, 50.97005292, 11.02996212
